@id|@lat|@lon|name|name:en|description|wikipedia
266828122|32.5018388|34.8924472|העיר העתיקה קיסריה|Caesarea Old City|City and harbor built by Herod the Great about 25-13 BC|en:Caesarea Maritima
274596894|31.6020749|34.8107979|שחריה|Shahariya||
274596898|32.6500000|35.5500000|תל שחרית|Tel Shaharit||
274607841|32.4652061|35.5413094|אבוקה|Avuqah||he:אבוקה (קיבוץ)
275232518|31.1510387|35.3463769|מצד זוהר|Mezad Zohar|מְצַד זוֹהַר הוא שמם של שני מבנים עתיקים בנחל זוהר.|he:מצד זוהר
278469560|33.1500000|35.6000000|Ez Zawiya|Ez Zawiya||
278469624|33.0740739|35.2184771|חורבת כרכרה|Horbat Karkara||
278469627|33.0536512|35.2106395|חורבת עדרון|Horbat `Edron||
278469647|31.5471245|34.7307012|תל חסי|Tel Hasi||
278469654|32.7219428|35.2033327|תל חציר|Tel Hazir||
278469695|31.6300842|34.8306502|תל זית|Tel Zayit||
278469725|30.8992694|35.1298348|רוגם צפיר|Rogem Zafir||
278470049|33.2500000|35.5666670|Horbat Nuha|Horbat Nuha||
278470089|31.9933386|34.8483264|תוחלת|Tohelet||
278470127|33.0477963|35.1622501|תל עבדון|Tel `Avdon||
278470129|32.4668370|35.4576381|חורבת מגדע|Horbat Migda||
278470151|31.4230605|34.6245551|חורבת בית הגדי|Horbat Bet HaGaddi||
278470166|31.5926495|34.8981438|תל מרשה|Tel Maresha||he:מרשה
278470173|29.6933331|35.0083330|חורבת דפית|Horbat Dafit||
278470231|32.6851803|35.1096171|תל קשיש|Tel Qashish|"תל קשיש, לידו מחלף תל קשיש הנקרא על שמו. ההגדה מספרת שעל התל הזה הרג אליהו הנביא את 40 נביאי הבעל ודמם נשטף אל מי הקישון אשר למרגלותיו, מפסגת הכרמל משקיף על התל מנזר המוחרקה, משם עלה אליהו הנביא השמיימה במרכבות סוסי אש."|he:תל קשיש
278470243|32.3577782|35.0019438|מעברת יכון|Yikkon Maabara||
278470264|33.0833330|35.4500000|צליחה|Saliha||
278470294|32.4857331|35.4616330|תל זהבך|Tel Zehavi||
278470435|32.7280615|35.0966717|תל מעמר|Tel Me`ammer||
278470506|31.0848674|34.8393268|Horbat Zahal|Horbat Zahal||
278470508|32.4965788|35.4620771|תל שוקק|Tel Shoqeq||
278470512|31.6630331|35.0310626|חורבת עלית|Horbat `Illit||
278470618|33.2000000|35.6333330|El `Abisiya|El `Abisiya||
278470634|32.9277780|35.4944440|חורבת סלע|Horbat Sela||
278470726|31.5676361|34.6066732|سمسم‎|Simsim||"en:Simsim, Gaza"
278470759|33.1101085|35.5309562|תל קדש|Tel Kedesh||en:Kedesh
278471055|31.3872195|34.4447229|תל גמה|Tel Gamma||
278471077|33.0333141|35.3333561|תל ראש|Tel Rosh||
278471146|31.2740404|34.9875500|תל ישוע|Tel Yeshua||
278471164|33.0477451|35.2000272|חורבת טבורית|Horbat Tabburit||
278471296|32.5500000|35.4666670|El Murassas|El Murassas||
278471322|32.5000000|35.1333330|Sharayi`|Sharayi`||
278471327|31.6575865|34.9791273|חורבת רבוא|Horbat Ribbo||
278471492|30.5598660|35.0879898|חורבת קצרה|Horbat Qazra|"מצדית רומית, מקדש נבטי ותצפית מרהיבה על נחל קצרה. "|
278471511|32.4833385|35.5499603|Tel Peha|Tel Peha||
278471517|31.6654156|35.0140627|חורבת בוץ|Horbat Buz||
278471520|33.0666625|35.3166128|חורבת עקרב|Horbat `Aqrav||
278472747|33.0666481|35.4500317|פארה|Fara||
278472827|32.6530514|35.4663322|תל רכש|Tel Rekhesh||
278472837|30.7890453|34.7344360|הר ערקוב|Mt. `Arqov|"הר עם הרבה ציורי סלע, מאובנים ותצפית יפה שחושפת סימנים לנבטים שאכלסו את האזור. לפי חוקרים ציורי הסלע היו חלק מטקסי פולחן של הנבטים. "|
278472850|32.4583321|35.4972229|תל רחוב|Tel Rehov|תל גבוה ותצפית יפה (על שדה החמניות בעונה). עליות מעניינות לג'יפים.|he:תל רחוב
278472957|32.9905560|35.4075000|חורבת בק|Horbat Baq||
278472974|30.9299999|35.1499999|מצד עקרבים|Mezad `Aqrabbim||
278472998|31.6658617|34.9643044|חורבת קנים|Horbat Qanim||
278473035|32.9333330|35.0833330|מנשיה|Manshiya||
278473039|33.0000000|35.2333330|ח'ירבת כניסה|Horbat Kanisa||
278473046|32.6388890|35.3333330|חורבת טבת|Horbat Tevet||
278473058|32.5150505|35.4981432|חנות בשן|Hanot Beshan||
278473079|31.6469181|34.5732587|نعليا|Ni`ilya||en:Ni'ilya
278473085|31.2799119|35.1255017|תל ערד|Tel Arad||en:Tel Arad
278473105|33.0204253|35.1793289|גבעת המשוריין|giv'at hamesuryan||
278473109|31.7500000|34.6500000|תל אשדוד|Tel Ashdod||
278473119|32.5500000|35.0000000|Es Sindiyana|Es Sindiyana||
278473120|33.0164897|35.3343985|سبلن|Sabalan||
278473123|33.0666670|35.6333330|Horbat Shuah|Horbat Shuah||
278473170|31.1296515|35.3876644|מיצד גוזל|Mezad Gozal||
278473182|32.4333330|35.5500000|Tel Malluah|Tel Malluah||
278473183|31.7804585|34.8510160|תל מקנה|Tel Miqne||
278473206|31.7853370|34.9115833|תל בטש|Tel Batash||
278473208|32.7388890|35.3208330|תל גת חפר|Tel Gat Hefer||
278473214|31.3500004|35.1166687|Tel Qeriyyot|Tel Qeriyyot||
278473215|32.8620855|35.5356800|Tel Hodim|Tel Hodim||
278473219|32.6791670|35.3916670|خربة صونيم|Horbat Zunim||
278473221|32.9194494|35.5390853|חורבת גוב יוסף|Horbat Gov Yosef||
